阿爸 a1/ba4
阿昌 a1/chang1
阿飞 a1/fei1
阿里 a1/li3
阿妈 a1/ma1
阿曼 a1/man4
阿呀 a1/ya
阿姨 a1/yi2
啊呀 a/ya
啊哟 a/yo1
哎呀 ai1/ya
哎哟 ai1/yo1
哀愁 ai1/chou2
哀悼 ai1/dao4
哀叫 ai1/jiao4
哀乐 ai1/le4
哀求 ai1/qiu2
哀伤 ai1/shang1
哀思 ai1/si1
哀叹 ai1/tan4
哀痛 ai1/tong4
哀怨 ai1/yuan4
埃及 ai1/ji2
挨打 ai1/da3
挨饿 ai1/e4
挨个 ai1/ge4
挨近 ai1/jin4
挨整 ai1/zheng3
挨着 ai1/zhe
癌症 ai2/zheng4
矮杆 ai3/gan1
矮胖 ai3/pang4
矮小 ai3/xiao3
爱吃 ai4/chi1
爱戴 ai4/dai4
爱抚 ai4/fu3
爱国 ai4/guo2
爱好 ai4/hao3
爱护 ai4/hu4
爱美 ai4/mei3
爱民 ai4/min2
爱幕 ai4/mu4
爱慕 ai4/mu4
爱情 ai4/qing2
爱人 ai4/ren2
爱惜 ai4/xi1
爱憎 ai4/zeng1
碍事 ai4/shi4
暧昧 ai4/mei4
安插 an1/cha1
安达 an1/da2
安定 an1/ding4
安顿 an1/dun4
安放 an1/fang4
安分 an1/fen1
安抚 an1/fu3
安徽 an1/hui1
安家 an1/jia1
安静 an1/jing4
安居 an1/ju1
安康 an1/kang1
安乐 an1/le4
安谧 an1/mi4
安眠 an1/mian2
安民 an1/min2
安宁 an1/ning2
安排 an1/pai2
安培 an1/pei2
安祺 an1/qi2
安庆 an1/qing4
安全 an1/quan2
安然 an1/ran2
安上 an1/shang4
安身 an1/shen1
安危 an1/wei1
安慰 an1/wei4
安稳 an1/wen3
安息 an1/xi1
安闲 an1/xian2
安详 an1/xiang2
安祥 an1/xiang2
安歇 an1/xie1
安心 an1/xin1
安恙 an1/yang4
安逸 an1/yi4
安葬 an1/zang4
安置 an1/zhi4
安装 an1/zhuang1
氨化 an1/hua4
氨基 an1/ji1
氨水 an1/shui3
鹌鹑 an1/chun2
鞍钢 an1/gang1
鞍马 an1/ma3
鞍山 an1/shan1
俺们 an3/men
铵盐 an3/yan2
岸边 an4/bian1
岸然 an4/ran2
岸上 an4/shang4
按此 an4/ci3
按理 an4/li3
按量 an4/liang4
按摩 an4/mo2
按捺 an4/na4
按年 an4/nian2
按钮 an4/niu3
按期 an4/qi1
按日 an4/ri4
按时 an4/shi2
按说 an4/shuo1
按序 an4/xu4
按语 an4/yu3
按月 an4/yue4
按照 an4/zhao4
按着 an4/zhe
案犯 an4/fan4
案件 an4/jian4
案卷 an4/juan3
案例 an4/li4
案情 an4/qing2
案由 an4/you2
案语 an4/yu3
案子 an4/zi
暗暗 an4/an4
暗藏 an4/cang2
暗处 an4/chu4
暗淡 an4/dan4
暗害 an4/hai4
暗号 an4/hao4
暗箭 an4/jian4
暗杀 an4/sha1
暗伤 an4/shang1
暗示 an4/shi4
暗室 an4/shi4
暗算 an4/suan4
暗想 an4/xiang3
暗中 an4/zhong1
暗自 an4/zi4
黯然 an4/ran2
肮脏 ang1/zang4
昂贵 ang2/gui4
昂然 ang2/ran2
昂首 ang2/shou3
昂扬 ang2/yang2
盎然 ang4/ran2
凹凸 ao1/tu1
遨游 ao2/you2
翱翔 ao2/xiang2
鏖战 ao2/zhan4
傲骨 ao4/gu3
傲慢 ao4/man4
傲气 ao4/qi4
傲然 ao4/ran2
奥秘 ao4/mi4
奥秒 ao4/miao3
奥妙 ao4/miao4
澳门 ao4/men2
澳洲 ao4/zhou1
懊悔 ao4/hui3
懊恼 ao4/nao3
懊丧 ao4/sang4
八百 ba1/bai3
八成 ba1/cheng2
八方 ba1/fang1
八股 ba1/gu3
八卦 ba1/gua4
八届 ba1/jie4
八旗 ba1/qi2
八十 ba1/shi2
八万 ba1/wan4
八一 ba1/yi1
八月 ba1/yue4
巴结 ba1/jie2
巴黎 ba1/li2
