1	啊	a/e4/a1/a2/a3/a4
2	阿	a1/e1/e3/a3/a4/a
3	埃	ai1/zhi4
4	挨	ai1/ai2
5	哎	ai1
6	唉	ai1/ai3/ai4
7	哀	ai1
8	皑	ai2
9	癌	ai2/yan2
10	蔼	ai3
11	矮	ai3
12	艾	ai4/yi4
13	碍	ai4
14	爱	ai4
15	隘	ai4/e4
16	鞍	an1
17	氨	an1
18	安	an1
19	俺	an3/yan4
20	按	an4
21	暗	an4
22	岸	an4
23	胺	an4/e4
24	案	an4
25	肮	ang1/hang2/gang1
26	昂	ang2/yang4
27	盎	ang4
28	凹	ao1/wa1
29	敖	ao2/ao4
30	熬	ao2/ao1
31	翱	ao2
32	袄	ao3
33	傲	ao4/ao2
34	奥	ao4/yu4/you1
35	懊	ao4/yu4
36	澳	ao4/yu4
37	芭	ba1/pa1
38	捌	ba1/bie2
39	扒	ba1/bai4/bie2/pa2
40	叭	ba1/pa1/ba
41	吧	ba/ba1/pa1
42	笆	ba1
43	八	ba1/ba2
44	疤	ba1
45	巴	ba1
46	拔	ba2/bo1/bie2/fa2/bei4
47	跋	ba2/bei4
48	靶	ba3/ba4
49	把	ba3/ba4/pa2
50	耙	ba4/pa2
51	坝	ba4
52	霸	ba4/po4
53	罢	ba4/ba
54	爸	ba4
55	白	bai2/bo2
56	柏	bai3/bo2/bo4
57	百	bai3/bo2/mo4
58	摆	bai3
59	佰	bai3/mo4
60	败	bai4
61	拜	bai4
62	稗	bai4
63	斑	ban1
64	班	ban1
65	搬	ban1/su4
66	扳	ban1/pan1
67	般	ban1/pan2/ban3/bo1
68	颁	ban1
69	板	ban3
70	版	ban3
71	扮	ban4/fen3/fen1/huo3
72	拌	ban4/pan1
73	伴	ban4/pan4
74	瓣	ban4
75	半	ban4/pan4
76	办	ban4
77	绊	ban4
78	邦	bang1
79	帮	bang1
80	梆	bang1
81	榜	bang3/beng1/bang4/pang2/peng2
82	膀	bang3/pang2/pang1/bang4/pang3
83	绑	bang3
84	棒	bang4
85	磅	bang4/pang1/pang2
86	蚌	bang4/pi2/feng1/beng4
87	镑	bang4
88	傍	bang4/pang2/beng1/peng2
89	谤	bang4
90	苞	bao1/pao2/biao1
91	胞	bao1/pao2/pao4
92	包	bao1/pao2/fu2
93	褒	bao1
94	剥	bo1/bao1/pu1
95	薄	bao2/bo2/bu4/bo4
96	雹	bao2
97	保	bao3
98	堡	bao3/bu3/pu4
99	饱	bao3
100	宝	bao3
101	抱	bao4/pao1/pou3
102	报	bao4
103	暴	bao4/pu4/bo2
104	豹	bao4
105	鲍	bao4
106	爆	bao4/bo2
107	杯	bei1
108	碑	bei1
109	悲	bei1
110	卑	bei1/bi3/bi4/pi2/ban1
111	北	bei3/bei4
112	辈	bei4
113	背	bei4/bei1
114	贝	bei4
115	钡	bei4
116	倍	bei4/pei2
117	狈	bei4
118	备	bei4
119	惫	bei4
120	焙	bei4
121	被	bei4/bi4/pi1/pi4
122	奔	ben1/ben4/fen4
123	苯	ben3
124	本	ben3/ben1
125	笨	ben4
126	崩	beng1
127	绷	beng1/beng3/beng4
128	甭	beng2/qi4
129	泵	beng4/pin4/liu2
130	蹦	beng4
131	迸	beng4
132	逼	bi1
133	鼻	bi2
134	比	bi3/bi4/pi2/pi3
135	鄙	bi3
136	笔	bi3
137	彼	bi3
138	碧	bi4
139	蓖	bi4
140	蔽	bi4/bie1/pie1
141	毕	bi4
142	毙	bi4
143	毖	bi4
144	币	bi4/yin4
145	庇	bi4/pi2/pi3
146	痹	bi4
147	闭	bi4
148	敝	bi4
149	弊	bi4
150	必	bi4
151	辟	pi4/bi4/mi3/pi1
152	壁	bi4
153	臂	bi4/bei
154	避	bi4
155	陛	bi4
156	鞭	bian1
157	边	bian1/bian
158	编	bian1
159	贬	bian3
160	扁	bian3/pian1/bian1/pian2
161	便	bian4/pian2/bian1
162	变	bian4
163	卞	bian4/pan2
164	辨	bian4/bian3/ban4/pian4
165	辩	bian4
166	辫	bian4
167	遍	bian4
168	标	biao1
169	彪	biao1
170	膘	biao1/piao3
171	表	biao3
172	鳖	bie1
173	憋	bie1
174	别	bie2/bie4
175	瘪	bie3/bie1
176	彬	bin1/ban1
177	斌	bin1
178	濒	bin1
179	滨	bin1
180	宾	bin1
181	摈	bin4
182	兵	bing1
183	冰	bing1/ning2
184	柄	bing3
185	丙	bing3/bing4
186	秉	bing3
187	饼	bing3
188	炳	bing3
189	病	bing4
190	并	bing4/bing1
191	玻	bo1
192	菠	bo1
193	播	bo1/bo3
194	拨	bo1
195	钵	bo1
196	波	bo1/bei1/bi4
197	博	bo2
198	勃	bo2
199	搏	bo2
200	铂	bo2
201	箔	bo2
202	伯	bo2/mo4/ba4/bai3
203	帛	bo2
204	舶	bo2
205	脖	bo2/bo1
206	膊	bo2/po4/lie4
207	渤	bo2
208	泊	po1/bo2/po4
209	驳	bo2
210	捕	bu3
211	卜	bo/bu3/pu1
212	哺	bu3/bu1/fu3
213	补	bu3
214	埠	bu4
215	不	bu4/fou3/fou1/fu1/bu2
216	布	bu4
217	步	bu4
218	簿	bu4/bo2
219	部	bu4/pou3
220	怖	bu4
221	擦	ca1
222	猜	cai1
223	裁	cai2
224	材	cai2
225	才	cai2/zai1
226	财	cai2
227	睬	cai3
228	踩	cai3/kui2
229	采	cai3/cai4
230	彩	cai3
231	菜	cai4
232	蔡	cai4/sa4/ca1
233	餐	can1/sun1
234	参	can1/cen1/shen1
235	蚕	can2/tian3
236	残	can2
237	惭	can2
238	惨	can3
239	灿	can4
240	苍	cang1
241	舱	cang1
242	仓	cang1
243	沧	cang1
244	藏	cang2/zang4/zang1
245	操	cao1
246	糙	cao1
247	槽	cao2/zao1
248	曹	cao2
249	草	cao3/zao4
250	厕	ce4/si
251	策	ce4
252	侧	ce4/ze4/zhai1
253	册	ce4/zha4
254	测	ce4
255	层	ceng2
256	蹭	ceng4/ceng2
257	插	cha1/zha3
258	茬	cha2/chi2
259	茶	cha2
260	查	cha2/zha1/chai2
261	碴	cha2/cha1
262	搽	cha2
263	察	cha2/cui4
264	岔	cha4
265	差	cha4/cha1/chai1/chai4/ci1/cuo1/jie1
266	诧	cha4
267	拆	chai1/che4/chi4/ca1
268	柴	chai2/ci1/zhai4/zi4
269	豺	chai2
270	搀	chan1
271	掺	can4/chan1/shan3
272	蝉	chan2
273	馋	chan2
274	谗	chan2
275	缠	chan2
276	铲	chan3
277	产	chan3
278	阐	chan3
279	颤	chan4/zhan4
280	昌	chang1/chang4
281	猖	chang1
282	场	chang3/chang2
283	尝	chang2
284	常	chang2
285	长	zhang3/chang2
286	偿	chang2
287	肠	chang2
288	厂	chang3/han3/yan2/an1
289	敞	chang3/cheng4/zheng4
290	畅	chang4
291	唱	chang4
292	倡	chang4/chang1
293	超	chao1/chao3/chao4/tiao4
294	抄	chao1/suo1/chao4/chao3
295	钞	chao1
296	朝	chao2/zhao1/zhu1
297	嘲	chao2/zhao1
298	潮	chao2
299	巢	chao2/chao4
300	吵	chao3/miao3/chao1/chao4
301	炒	chao3
302	车	che1/ju1
303	扯	che3
304	撤	che4
305	掣	che4
306	彻	che4
307	澈	che4
308	郴	chen1/lan2
309	臣	chen2
310	辰	chen2
311	尘	chen2
312	晨	chen2
313	忱	chen2/dan4
314	沉	chen2
315	陈	chen2
316	趁	chen4/zhen1/chen2/nian3/zhen3
317	衬	chen4
318	撑	cheng1
319	称	cheng1/chen4/cheng4
320	城	cheng2
321	橙	cheng2/deng4/chen2
322	成	cheng2
323	呈	cheng2/kuang2/cheng3
324	乘	cheng2/sheng4
325	程	cheng2
326	惩	cheng2
327	澄	cheng2/deng4
328	诚	cheng2
329	承	cheng2/zheng3/zheng4
330	逞	cheng3/ying2
331	骋	cheng3
332	秤	cheng4/cheng1/ping2
333	吃	chi1/qi1
334	痴	chi1
335	持	chi2
336	匙	shi/chi2
337	池	chi2/tuo2/che4
338	迟	chi2
339	弛	chi2
340	驰	chi2
341	耻	chi3
342	齿	chi3
343	侈	chi3
344	尺	chi3/che3
345	赤	chi4
346	翅	chi4
347	斥	chi4/che4/zhe4
348	炽	chi4
349	充	chong1
350	冲	chong1/chong4
351	虫	chong2/hui3
352	崇	chong2
353	宠	chong3
354	抽	chou1
355	酬	chou2
356	畴	chou2
357	踌	chou2
358	稠	chou2/tiao2/diao4
359	愁	chou2/qiao3/jiu1
360	筹	chou2
361	仇	chou2/qiu2/ju1
362	绸	chou2
363	瞅	chou3
364	丑	chou3
365	臭	chou4/xiu4
366	初	chu1
367	出	chu1
368	橱	chu2
369	厨	chu2
370	躇	chu2/chuo4
371	锄	chu2
372	雏	chu2
373	滁	chu2
374	除	chu2/zhu4/shu1
375	楚	chu3
376	础	chu3
377	储	chu3
378	矗	chu4
379	搐	chu4
380	触	chu4
381	处	chu4/chu3
382	揣	chuai1/chuai3/duo3/zhui1/tuan2/chuai4
383	川	chuan1
384	穿	chuan1/chuan4/yuan1
385	椽	chuan2
386	传	chuan2/zhuan4
387	船	chuan2
388	喘	chuan3
389	串	chuan4/guan4/quan4
390	疮	chuang1
391	窗	chuang1/cong1
392	幢	chuang2/zhuang4
393	床	chuang2
394	闯	chuang3
395	创	chuang4/chuang1
396	吹	chui1/chui4
397	炊	chui1
398	捶	chui2/duo3
399	锤	chui2
400	垂	chui2/zhui4
401	春	chun1/chun3
402	椿	chun1
403	醇	chun2
404	唇	chun2/zhen1/zhen4
405	淳	chun2/zhun1/zhun3
406	纯	chun2
407	蠢	chun3
408	戳	chuo1
409	绰	chuo4/chao1
410	疵	ci1/zi1/zhai4/ji4
411	茨	ci2
412	磁	ci2
413	雌	ci2
414	辞	ci2
415	慈	ci2
416	瓷	ci2
417	词	ci2
418	此	ci3
419	刺	ci4/qi4/ci1
420	赐	ci4
421	次	ci4/zi1/ci2
422	聪	cong1
423	葱	cong1/chuang1
424	囱	cong1/chuang1
425	匆	cong1
426	从	cong2/cong1
427	丛	cong2
428	凑	cou4
429	粗	cu1
430	醋	cu4/zuo4
431	簇	cu4/chuo4/cou4
432	促	cu4/chuo4
433	蹿	cuan1
