啊,a/e4/a1/a2/a3/a4,A
阿,a1/e1/e3/a3/a4/a,A
埃,ai1/zhi4,A
挨,ai1/ai2,A
哎,ai1,A
唉,ai1/ai3/ai4,A
哀,ai1,A
皑,ai2,A
癌,ai2/yan2,A
蔼,ai3,A
矮,ai3,A
艾,ai4/yi4,A
碍,ai4,A
爱,ai4,A
隘,ai4/e4,A
鞍,an1,A
氨,an1,A
安,an1,A
俺,an3/yan4,A
按,an4,A
暗,an4,A
岸,an4,A
胺,an4/e4,A
案,an4,A
肮,ang1/hang2/gang1,A
昂,ang2/yang4,A
盎,ang4,A
凹,ao1/wa1,A
敖,ao2/ao4,A
熬,ao2/ao1,A
翱,ao2,A
袄,ao3,A
傲,ao4/ao2,A
奥,ao4/yu4/you1,A
懊,ao4/yu4,A
澳,ao4/yu4,A
芭,ba1/pa1,B
捌,ba1/bie2,B
扒,ba1/bai4/bie2/pa2,B
叭,ba1/pa1/ba,B
吧,ba/ba1/pa1,B
笆,ba1,B
八,ba1/ba2,B
疤,ba1,B
巴,ba1,B
拔,ba2/bo1/bie2/fa2/bei4,B
跋,ba2/bei4,B
靶,ba3/ba4,B
把,ba3/ba4/pa2,B
耙,ba4/pa2,B
坝,ba4,B
霸,ba4/po4,B
罢,ba4/ba,B
爸,ba4,B
白,bai2/bo2,B
柏,bai3/bo2/bo4,B
百,bai3/bo2/mo4,B
摆,bai3,B
佰,bai3/mo4,B
败,bai4,B
拜,bai4,B
稗,bai4,B
斑,ban1,B
班,ban1,B
搬,ban1/su4,B
扳,ban1/pan1,B
般,ban1/pan2/ban3/bo1,B
颁,ban1,B
板,ban3,B
版,ban3,B
扮,ban4/fen3/fen1/huo3,B
拌,ban4/pan1,B
伴,ban4/pan4,B
瓣,ban4,B
半,ban4/pan4,B
办,ban4,B
绊,ban4,B
邦,bang1,B
帮,bang1,B
梆,bang1,B
榜,bang3/beng1/bang4/pang2/peng2,B
膀,bang3/pang2/pang1/bang4/pang3,B
绑,bang3,B
棒,bang4,B
磅,bang4/pang1/pang2,B
蚌,bang4/pi2/feng1/beng4,B
镑,bang4,B
傍,bang4/pang2/beng1/peng2,B
谤,bang4,B
苞,bao1/pao2/biao1,B
胞,bao1/pao2/pao4,B
包,bao1/pao2/fu2,B
褒,bao1,B
剥,bo1/bao1/pu1,B
薄,bao2/bo2/bu4/bo4,B
雹,bao2,B
保,bao3,B
堡,bao3/bu3/pu4,B
饱,bao3,B
宝,bao3,B
抱,bao4/pao1/pou3,B
报,bao4,B
暴,bao4/pu4/bo2,B
豹,bao4,B
鲍,bao4,B
爆,bao4/bo2,B
杯,bei1,B
碑,bei1,B
悲,bei1,B
卑,bei1/bi3/bi4/pi2/ban1,B
北,bei3/bei4,B
辈,bei4,B
背,bei4/bei1,B
贝,bei4,B
钡,bei4,B
倍,bei4/pei2,B
狈,bei4,B
备,bei4,B
惫,bei4,B
焙,bei4,B
被,bei4/bi4/pi1/pi4,B
奔,ben1/ben4/fen4,B
苯,ben3,B
本,ben3/ben1,B
笨,ben4,B
崩,beng1,B
绷,beng1/beng3/beng4,B
甭,beng2/qi4,B
泵,beng4/pin4/liu2,B
蹦,beng4,B
迸,beng4,B
逼,bi1,B
鼻,bi2,B
比,bi3/bi4/pi2/pi3,B
鄙,bi3,B
笔,bi3,B
彼,bi3,B
碧,bi4,B
蓖,bi4,B
蔽,bi4/bie1/pie1,B
毕,bi4,B
毙,bi4,B
毖,bi4,B
币,bi4/yin4,B
庇,bi4/pi2/pi3,B
痹,bi4,B
闭,bi4,B
敝,bi4,B
弊,bi4,B
必,bi4,B
辟,pi4/bi4/mi3/pi1,P
壁,bi4,B
臂,bi4/bei,B
避,bi4,B
陛,bi4,B
鞭,bian1,B
边,bian1/bian,B
编,bian1,B
贬,bian3,B
扁,bian3/pian1/bian1/pian2,B
便,bian4/pian2/bian1,B
变,bian4,B
卞,bian4/pan2,B
辨,bian4/bian3/ban4/pian4,B
辩,bian4,B
辫,bian4,B
遍,bian4,B
标,biao1,B
彪,biao1,B
膘,biao1/piao3,B
表,biao3,B
鳖,bie1,B
憋,bie1,B
别,bie2/bie4,B
瘪,bie3/bie1,B
彬,bin1/ban1,B
斌,bin1,B
濒,bin1,B
滨,bin1,B
宾,bin1,B
摈,bin4,B
兵,bing1,B
冰,bing1/ning2,B
柄,bing3,B
丙,bing3/bing4,B
秉,bing3,B
饼,bing3,B
