1	阿爸	a1/ba4
2	阿昌	a1/chang1
3	阿飞	a1/fei1
4	阿里	a1/li3
5	阿妈	a1/ma1
6	阿曼	a1/man4
7	阿呀	a1/ya
8	阿姨	a1/yi2
9	啊呀	a/ya
10	啊哟	a/yo1
11	哎呀	ai1/ya
12	哎哟	ai1/yo1
13	哀愁	ai1/chou2
14	哀悼	ai1/dao4
15	哀叫	ai1/jiao4
16	哀乐	ai1/le4
17	哀求	ai1/qiu2
18	哀伤	ai1/shang1
19	哀思	ai1/si1
20	哀叹	ai1/tan4
21	哀痛	ai1/tong4
22	哀怨	ai1/yuan4
23	埃及	ai1/ji2
24	挨打	ai1/da3
25	挨饿	ai1/e4
26	挨个	ai1/ge4
27	挨近	ai1/jin4
28	挨整	ai1/zheng3
29	挨着	ai1/zhe
30	癌症	ai2/zheng4
31	矮杆	ai3/gan1
32	矮胖	ai3/pang4
33	矮小	ai3/xiao3
34	爱吃	ai4/chi1
35	爱戴	ai4/dai4
36	爱抚	ai4/fu3
37	爱国	ai4/guo2
38	爱好	ai4/hao3
39	爱护	ai4/hu4
40	爱美	ai4/mei3
41	爱民	ai4/min2
42	爱幕	ai4/mu4
43	爱慕	ai4/mu4
44	爱情	ai4/qing2
45	爱人	ai4/ren2
46	爱惜	ai4/xi1
47	爱憎	ai4/zeng1
48	碍事	ai4/shi4
49	暧昧	ai4/mei4
50	安插	an1/cha1
51	安达	an1/da2
52	安定	an1/ding4
53	安顿	an1/dun4
54	安放	an1/fang4
55	安分	an1/fen1
56	安抚	an1/fu3
57	安徽	an1/hui1
58	安家	an1/jia1
59	安静	an1/jing4
60	安居	an1/ju1
61	安康	an1/kang1
62	安乐	an1/le4
63	安谧	an1/mi4
64	安眠	an1/mian2
65	安民	an1/min2
66	安宁	an1/ning2
67	安排	an1/pai2
68	安培	an1/pei2
69	安祺	an1/qi2
70	安庆	an1/qing4
71	安全	an1/quan2
72	安然	an1/ran2
73	安上	an1/shang4
74	安身	an1/shen1
75	安危	an1/wei1
76	安慰	an1/wei4
77	安稳	an1/wen3
78	安息	an1/xi1
79	安闲	an1/xian2
80	安详	an1/xiang2
81	安祥	an1/xiang2
82	安歇	an1/xie1
83	安心	an1/xin1
84	安恙	an1/yang4
85	安逸	an1/yi4
86	安葬	an1/zang4
87	安置	an1/zhi4
88	安装	an1/zhuang1
89	氨化	an1/hua4
90	氨基	an1/ji1
91	氨水	an1/shui3
92	鹌鹑	an1/chun2
93	鞍钢	an1/gang1
94	鞍马	an1/ma3
95	鞍山	an1/shan1
96	俺们	an3/men
97	铵盐	an3/yan2
98	岸边	an4/bian1
99	岸然	an4/ran2
100	岸上	an4/shang4
101	按此	an4/ci3
102	按理	an4/li3
103	按量	an4/liang4
104	按摩	an4/mo2
105	按捺	an4/na4
106	按年	an4/nian2
107	按钮	an4/niu3
108	按期	an4/qi1
109	按日	an4/ri4
110	按时	an4/shi2
111	按说	an4/shuo1
112	按序	an4/xu4
113	按语	an4/yu3
114	按月	an4/yue4
115	按照	an4/zhao4
116	按着	an4/zhe
